Current simulation time: 0.100176s, Completed flows: 336
Current simulation time: 0.10029s, Completed flows: 579
Current simulation time: 0.10039s, Completed flows: 790
Current simulation time: 0.100481s, Completed flows: 987
Current simulation time: 0.100566s, Completed flows: 1194
Current simulation time: 0.100653s, Completed flows: 1407
Current simulation time: 0.100739s, Completed flows: 1651
Current simulation time: 0.100822s, Completed flows: 1873
Current simulation time: 0.100907s, Completed flows: 2098
Current simulation time: 0.101002s, Completed flows: 2337
Current simulation time: 0.101093s, Completed flows: 2539
Current simulation time: 0.101184s, Completed flows: 2774
Current simulation time: 0.101278s, Completed flows: 3027
Current simulation time: 0.101381s, Completed flows: 3255
Current simulation time: 0.101487s, Completed flows: 3494
Current simulation time: 0.101591s, Completed flows: 3743
Current simulation time: 0.101701s, Completed flows: 3975
Current simulation time: 0.101816s, Completed flows: 4237
Current simulation time: 0.101941s, Completed flows: 4490
Current simulation time: 0.102082s, Completed flows: 4808
Current simulation time: 0.102217s, Completed flows: 5081
Current simulation time: 0.102347s, Completed flows: 5358
