Current simulation time: 0.100204s, Completed flows: 223
Current simulation time: 0.100334s, Completed flows: 380
Current simulation time: 0.100459s, Completed flows: 525
Current simulation time: 0.100591s, Completed flows: 669
Current simulation time: 0.100748s, Completed flows: 842
Current simulation time: 0.100899s, Completed flows: 981
Current simulation time: 0.101068s, Completed flows: 1164
Current simulation time: 0.101296s, Completed flows: 1366
Current simulation time: 0.101564s, Completed flows: 1603
Current simulation time: 0.101861s, Completed flows: 1848
Current simulation time: 0.1022s, Completed flows: 2148
Current simulation time: 0.102561s, Completed flows: 2445
Current simulation time: 0.102955s, Completed flows: 2765
Current simulation time: 0.10338s, Completed flows: 3091
Current simulation time: 0.103884s, Completed flows: 3496
Current simulation time: 0.104364s, Completed flows: 3898
Current simulation time: 0.104861s, Completed flows: 4286
Current simulation time: 0.105348s, Completed flows: 4674
Current simulation time: 0.105869s, Completed flows: 5082
Current simulation time: 0.106391s, Completed flows: 5488
Current simulation time: 0.106934s, Completed flows: 5921
Current simulation time: 0.107432s, Completed flows: 6310
Current simulation time: 0.107969s, Completed flows: 6714
Current simulation time: 0.108469s, Completed flows: 7098
